TX_0000,"\col(1)1ルピ-\col(0)手に入れた!
。。。"
TX_0049,"\col(1)ハ-トのかけら\col(0)が4つになった!
\col(1)ハ-トのうつわ\col(0)が1つふえたぞ!"
TX_004a,\col(1)しょうかいじょう\col(0)を手に入れた!
TX_004b,"\col(1)ガチャのタネ\col(0)を手に入れた!
やわらかいつちに うえてみよう!"
TX_004c,\col(1)ハ-ト3コ\col(0)を手に入れた!
TX_004d,\col(1)バクダン10コ\col(0)を手に入れた!
TX_004e,\col(1)ふういんの本\col(0)を手に入れた!
TX_004f,\col(1)アチチの実4コ\col(0)を手に入れた!
TX_0050,\col(1)サッサの実10コ\col(0)を手に入れた!
TX_0051,ハ-トが1コだけ かいふく
TX_0052,\col(1)木の実ぶくろ\col(0)がまんたんになった!
TX_0053,ハ-トがまんたんになった!
TX_0054,"\col(1)ゆびわ\col(0)を手に入れた!
あとで かんていしてもらおう!"
TX_0055,"\col(1)ようせいのこな\col(0)を手に入れた!
へんげの のろいが とけるぞ!"
TX_0056,"\col(1)トカゲのめだま\col(0)を手に入れた!
海にしずんでいた おタカラだ!"
TX_0057,"\col(1)ゆびわの小ばこL-1\col(0)だ!
\col(1)ゆびわ\col(0)を 1コ入れておける!"
TX_0058,"\col(1)ゆびわの小ばこL-2\col(0)だ!
\col(1)ゆびわ\col(0)を 3コ入れておける!"
TX_0059,"\col(1)ゆびわの小ばこL-3\col(0)だ!
\col(1)ゆびわ\col(0)を 5コ入れておける!"
TX_005a,"\pos(2)\col(0x84)\item(0x01)\col(1)ポゥのとけい\col(0) をもらった!
ウキウキ。。。する?"
TX_005b,"\col(0x84)\item(0x02)\col(1)レタ-セット\col(0)を もらった!!
だれにあてて かこう?"
TX_005c,"\col(0x84)\item(0x02)\col(0)が \col(0x84)\item(0x03)\col(1)ニオイぶくろ\col(0) になった!
これは。。。クサい。。。"
TX_005d,"\col(0x84)\item(0x04)\col(1)デリシャスおにく\col(0)を もらった!
シェフ オススメの いっぴんです"
TX_005e,"\col(0x84)\item(0x05)\col(1)わんこのおめん\col(0)を もらった!!
あいけん 大よろこび!"
TX_005f,"\col(0x84)\item(0x06)\col(1)鉄アレイ\col(0)を もらった!!
ん!?かたほうしか ないぞ!"
TX_0060,"\col(0x84)\item(0x07)\col(1)げひんヒゲ\col(0)を もらった!
なんだか いやらしいヒゲだ。。。"
TX_0061,"\col(0x84)\item(0x08)\col(1)大ウケするネタ\col(0)を おぼえた!
人気者に なれるかな。。。?"
TX_0062,"\col(0x84)\item(0x09)\col(1)おセンチえほん\col(0)をもらった!
かなしい かなしい おはなしだ"
TX_0063,"\col(0x84)\item(0x0a)\col(1)まほうのオ-ル\col(0)を もらった!
水の上なら ス-イスイ?"
TX_0064,"\col(0x84)\item(0x0b)\col(1)海のウクレレ\col(0)を手に入れた!
フンワリと しおの かおり!"
TX_0065,"\col(0x84)\item(0x0c)\col(1)おれた剣\col(0)を手に入れた!
。。。え!? おれている!?"
TX_0066,"\col(1)リッキ-グロ-ブ\col(0)を手に入れた!
もちぬしに とどけてあげよう"
TX_0067,"\col(1)リッキ-グロ-ブ\col(0)を手に入れた!
もちぬしに とどけてあげよう"
TX_0068,"\col(1)ヘンなふえ\col(0)が \col(1)リッキ-のふえ\col(0)に!
ふけば \col(3)リッキ-\col(0)がたすけにくるぞ"
TX_0069,"\col(1)ヘンなふえ\col(0)が \col(1)リッキ-のふえ\col(0)に!
ふけば \col(3)リッキ-\col(0)がたすけにくるぞ"
TX_006a,"\col(1)ヘンなふえ\col(0)が \col(1)ウィウィのふえ\col(0)に!
ふけば \col(3)ウィウィ\col(0)がたすけにくるぞ"
TX_006b,"\col(1)まほうのクスリ\col(0)を手に入れた!
てきのこうげきなどで
ハ-トが0になったとき きくぞ!"
TX_006c,"\col(1)まほうのクスリ\col(0)を手に入れた!
てきのこうげきなどで
ハ-トが0になったとき きくぞ!"
TX_006d,"\col(1)まほうのクスリ\col(0)を手に入れた!
てきのこうげきなどで
ハ-トが0になったとき きくぞ!"
TX_006e,"\col(1)バクダン\col(0)を いままでより
イッパイ もてるようになった!"
TX_006f,"\col(1)ダイゴロンとう\col(0)を手に入れた!
りょう手もちの大剣だ!"
TX_0070,\col(1)時のたてごと\col(0)を手に入れた!
TX_0071,\col(1)時のたてごと\col(0)を手に入れた!
TX_0072,"\col(2)やまびこのしらべ\col(4)を手に入れた!
ねむっている\col(3)時のあな\col(4)を
よびおこすぞ!"
TX_0073,"\col(1)ソマリアのつえ\col(0)を手に入れた!
ふれば ブロックがしゅつげんする"
TX_0074,\col(1)スコップ\col(0)をとりもどした!
TX_0075,\col(1)ウッドソ-ド\col(0)をとりもどした!
TX_0076,\col(1)バクダン\col(0)をとりもどした!
TX_0077,\col(1)パワ-ブレスレット\col(0)をとりもどした
TX_0078,\col(1)時のたてごと\col(0)をとりもどした!
TX_0079,\col(1)ロックちょうのハネ\col(0)をとりもどした
TX_007a,\col(1)水かき\col(0)をとりもどした!
TX_007b,\col(1)木の実ぶくろ\col(0)をとりもどした!
TX_007c,"\col(1)ミカヅキじまの海図\col(0)を手に入れた!
これで しままで たどりつける!"
TX_007d,"\col(1)シバ-ルロ-プ\col(0)を手に入れた!
水につよいガンジョウなロ-プだ!"
TX_007e,\col(1)バクダン20コ\col(0)を手に入れた!
TX_007f,\col(3)ワンちゃん\col(0)をつかまえた!
TX_0080,"\col(1)木の実ぶくろ\col(0)が パワ-アップ!
入る\col(1)木の実\col(0)のかずが ふえたぞ!"
TX_0100,\pos(2)     ヒエ〜〜〜!
TX_0101,"ああ コワかったよ!\stop
とつぜん ヘンなまものに
おそわれちゃって。。。
あぶないトコロを
ありがとう たびの人
ところでアンタ なまえは?\stop
そう \Linkっていうのかい\stop
アラ アンタ 左手の甲に
▲のアザが あるんだね
\col(3)ハイラル\col(0)では ▲は勇者のあかし!
そのせいで まものたちが
にげだしたのかもしれないね\stop
わたしは\col(3)インパ\col(0) \col(3)ハイラル\col(0)の王女
\col(3)ゼルダ姫\col(0)の うばなんだ"
TX_0102,"\call(TX_0101)
ちょっとした ジジョウがあって
おしのびで \col(3)ネ-ル\col(0)という
うた姫をさがしているトコロさ\stop
\Link アンタもいっしょに
さがしてくれないかい?
アンタがいれば いくら
まものが出てきても あんしんだよ"
TX_0103,"\call(TX_0101)
\col(3)ゼルダ\col(0)さまに たのまれて
\col(3)ネ-ル\col(0)という
うた姫をさがしているトコロさ\stop
\Link アンタもいっしょに
さがしてくれないかい?
アンタがいれば いくら
まものが出てきても あんしんだよ"
TX_0104,ああ あったよ!アレだよ!
TX_0105,"この ▲のしるしがついた
いわが 目じるしなんだよ!"
TX_0106,"\Link 悪いんだけど
このいわを どけてくれないかい?"
TX_0107,"わたしじゃ。。。 ちょっと。。。
ちょっとね。。。"
TX_0108,ちょっと ムリなんだよ。。。
TX_0109,"ふう たすかったよ。。。
それじゃあ いこうかね"
TX_010a,"どこへ いくんだい!
\jump(TX_010c)"
TX_010b,なに しているんだい?\n
TX_010c,はやくコイツを どけておくれよ!
TX_010d,"アッ \Link!
わたしゃ たすかったんだね
わたしとしたことが まものに
カラダを のっとられるなんて"
TX_010e,"アッ \Link!
わたしゃ たすかったんだね
わたしとしたことが まものに
カラダを のっとられるなんて"
TX_010f,"アッ \Link!
わたしゃ たすかったんだね
わたしとしたことが まものに
カラダを のっとられるなんて"
TX_0110,"アッ \Link!
わたしゃ たすかったんだね
わたしとしたことが まものに
カラダを のっとられるなんて"
TX_0111,"。。。。。。\stop
あの\col(3)ベラン\col(0)ってのは
おそろしいヤツだよ
じぶんのキモチとは うらはらに
ヤツの すきなように
あやつられて しまうんだ"
TX_0112,"時のみこ\col(3)ネ-ル\col(0)さまに ふきつな
かげが ちかづいているらしいから
\col(3)ハイラル\col(0)へ つれていこうと
おもって はるばるやってきたのに
こんなことに なるなんて。。。
\jump(TX_0111)"
TX_0113,"\col(3)ホロドラム\col(0)を すくった
アンタのことを わすれるハズが
ないじゃないか\stop
わたしゃ \col(3)ゼルダ\col(0)さまに
もうしわけなくて。。。
\col(3)ゼルダ\col(0)さまはね\stop
時のみこ\col(3)ネ-ル\col(0)さまに ふきつな
かげが ちかづくのをかんじて
\col(3)ハイラル\col(0)へ つれてくるように
いわれたんだよ
それなのに こんなことに。。。
\jump(TX_0111)"
TX_0114,"\col(3)ベラン\col(0)は 時をさかのぼる
って いっていたね
むかしの世界で
\col(3)ネ-ル\col(0)さまの カラダをつかい
なにかを はじめたようだよ
そのえいきょうが \col(3)ラブレンヌ\col(0)に
出はじめているようだね\stop
ほんとうなら わたしが なんとか
しなくちゃいけないんだけど。。。
ウウッ \col(3)ベラン\col(0)に あやつられて
いたせいか カラダが
おもうように うごかないんだよ\stop
。。。\Linkや
アンタの その左手の▲のアザが
ホンモノなら 世界をすくう
勇者のあかし なのかもしれない
おねがいだよ!
アンタの力を かしておくれ!"
TX_0115,"\call(TX_0114)\stop
そうだ コレをもっておいき
この剣は \col(3)ゼルダ\col(0)さまから
たくされたんだ つかっておくれ"
TX_0116,"\call(TX_0118)\stop
そうだ コレをもっておいき
この\col(1)たて\col(0)は \col(3)ゼルダ\col(0)さまから
たくされたんだ つかっておくれ"
TX_0117,"\Link
\col(3)レンヌのまち\col(0)の \col(3)マカの木\col(0)に
あいにいって もらえるかい?\stop
\col(3)マカの木\col(0)は この\col(3)ラブレンヌ\col(0)の
まもりがみ
きっと なんとかしてくれるハズさ
このもりの 東のはずれには
\col(3)ネ-ルさまのいえ\col(0)が あるんだ
わたしゃ しばらく
そこに いることにするよ"
TX_0118,"\col(3)ベラン\col(0)は 時をさかのぼる
って いっていたね
むかしの世界で
\col(3)ネ-ル\col(0)さまの カラダをつかい
なにかを はじめたようだよ
そのえいきょうが \col(3)ラブレンヌ\col(0)に
出はじめているようだね\stop
\Linkや
\col(3)ホロドラム\col(0)につづいて こんどは
\col(3)ラブレンヌ\col(0)の いちだいじだよ
アンタには ツライおもいばかり
させているけど。。。
でも アンタほど たよれるコは
ほかには いないんだよ!
おねがいだよ!
\col(3)ネ-ル\col(0)さまを すくっておくれ!"
TX_0119,"\col(3)ネ-ル\col(0)さまのことは たのんだよ
\Link!!"
TX_011a,"\col(3)ネ-ル\col(0)さまのことは たのんだよ
\Link!!"
TX_011b,"\col(3)ネ-ル\col(0)さまのことは たのんだよ
\Link!!"
TX_011c,"\col(3)ネ-ル\col(0)さまのことは たのんだよ
\Link!!"
TX_011d,"\col(3)ネ-ル\col(0)さまのことは たのんだよ
\Link!!"
TX_011e,"\col(3)ネ-ル\col(0)さまのことは たのんだよ
\Link!!"
TX_011f,"\col(3)ネ-ル\col(0)さまのことは たのんだよ
\Link!!"
TX_0120,"\col(3)ネ-ル\col(0)さまのことは たのんだよ
\Link!!"
TX_0121,"へやのどこかに すきまでも
あるのかねえ?
ときどき 上のほうから
かぜが ふいてくるんだよ。。。"
TX_0122,"いそいでおくれ!
はやく \col(3)ネ-ル\col(0)さまをたすけないと
世界が ドンドン おかしくなって
いっちまうよ!"
TX_0123,"\col(3)ネ-ル\col(0)さまを たすけただけじゃ
おわらないようだね。。。
ここは わたしに まかせて
アンタは 時をさかのぼって
\col(3)ベラン\col(0)の悪だくみを とめておくれ
たのんだよ \Link!!"
TX_0124,"\Link!!
ちょっと まっておくれ-!"
TX_0125,"\pos(2)\Link たいへんだよ!
むかしのコトを いろいろと
しらべてみたら とんでもない
ことが わかったんだよ!
\col(3)ラルフ\col(0)は \col(3)アンビ女王\col(0)の
しそん だったんだよ!
これが どういうことだか
わかるかい?\stop
むかし \col(3)アンビ女王\col(0)がいたから
いま \col(3)ラルフ\col(0)がいるんだ
\col(3)アンビ女王\col(0)を たおしてしまったら
\col(3)ラルフ\col(0)も いなかったことに。。。
つまり きえちゃうってことだよ!\stop
わたしたちゃ \col(3)ラルフ\col(0)をとめようと
ここまで やっては きたけれど
けっきょく なにも
できなかったよ。。。"
TX_0126,"\pos(2)\col(3)ラルフ\col(0)も このじだいの人たちも
すくうことができるのは
\Link アンタだけだよ!"
TX_0127,"\Link!!
いいトコロに きてくれたよ!
たった いま でんしょバ-ドから
\col(3)ゼルダ\col(0)さまが \col(3)レンヌのまち\col(0)へ
むかっているという 知らせを
うけたんだ!
そこで こうして おむかえに
あがったんだけど。。。\stop
ああ! なんてことだろう!
あかい まものが あらわれて
わたしの目のまえで \col(3)ゼルダ\col(0)さまを
さらっていってしまったんだよ!
その まものは 塔のほうへ
とんでいっちまったんだけど。。。
もう わたしゃ
どうしたらいいのやら!
おねがいだよ \Link!\stop
\col(3)ゼルダ\col(0)さまを たすけだして
きておくれ!
\col(3)ゼルダ\col(0)さまは この世界のキボウ
そのみに なにか あったら
世界から キボウが きえちまう!
たのむよ! \Link
なんとしても
たすけだしてきておくれ!"
TX_0128,"\col(3)ゼルダ\col(0)さま!!
ごぶじでしたか! ああ よかった
ほんとうに しんぱいしましたよ
どうして おひとりで
こんなキケンなトコロまで。。。"
TX_0129,"\col(3)ゼルダ\col(0)さまは きっと
この塔の上だよ!
たのむよ! \Link
なんとしても
たすけだしてきておくれ!"
TX_012a,"さぁ \Linkが
ひきうけてくれたからには
もう あんしんですね \col(3)ゼルダ\col(0)さま
ここはひとまず \col(3)ネ-ルのいえ\col(0)に
みをひそめ \Linkからの
知らせを まつとしましょう\stop
そうそう \Link
アンタ たしか 北西の山へ
むかってたんだっけ
ここから西へ いったところに
のぼりぐちが あるって きいたよ
気をつけて いくんだよ"
TX_012b,"このままじゃ 村の人々は
ホントに どうなっちまうんだろう"
TX_012c,"\col(3)ゼルダ\col(0)さまの ムチャっぷりには
ホント ヒヤヒヤさせられるよ
こんどは \col(3)ネ-ル\col(0)さまのほうを
たのんだよ  \Link!"
TX_012d,"せっかく \col(3)ネ-ル\col(0)さまを
たすけたっていうのに
それだけじゃ ダメだったようだね
たのんだよ  \Link!"
TX_012e,"\col(3)ゼルダ\col(0)さまさえ いてくだされば
もう ダイジョウブさ!!"
TX_012f,"ああ! \col(3)ゼルダ\col(0)さまが
さらわれちまったよ。。。
いったい これから
どうすればいいんだい!
\Link!
なんとかしておくれよ!!"
TX_0130,た、たいへんだよ! \Link!
TX_0131,"\col(3)ゼルダ\col(0)さまが \col(3)ゼルダ\col(0)さまが!
いいかい おちついて きいとくれ
いしになっていた 村の人々が
なおりはじめる すこしまえ
わたしと \col(3)ゼルダ\col(0)さまは
村のはずれで ないていた男のコを
はげまして いたんだよ!
そしたら とつぜん
そらから いなびかりが。。。"
TX_0132,"\col(3)ネ-ル\col(0)さま ひとりじゃ
しんぱいだから
わたしも ついてきちゃったんだよ"
TX_0200,     マカの みち
TX_020d,     マカの みち
TX_0201," LV.1
    たましいの はか"
TX_0202," LV.2
   つばさの ダンジョン"
TX_0203," LV.3
   つきかげの ほこら"
TX_0204," LV.4
    どくろダンジョン"
TX_0205," LV.5
   王かんの ダンジョン"
TX_0206," LV.6
   にんぎょの どうくつ"
TX_020c," LV.6
   にんぎょの どうくつ"
TX_0207," LV.7
 ジャブジャブさまの おなか"
TX_0208," LV.8
    いにしえの はか"
TX_0209,"      暗黒の塔
     さいじょうぶ"
TX_020a,     ぎしきの ま
TX_020b,    勇者の どうくつ
TX_020e,      暗黒の塔
TX_020f,      暗黒の塔
TX_0300,"\call(0xfd)
 \opt()ワ-プする \opt()ワ-プしない"
TX_0301," \opt()えらびなおす
 \opt()もとのばしょに もどる"
TX_0302,    トロイワ山地
TX_0303,     シメトリ村
TX_0304,    ヌ-ンこうげん
TX_0305,     ゴロゴロ山
TX_0306,    ゴロゴロ山ふもと
TX_0307,     レンヌのまち
TX_0308,      時のもり
TX_0309,     ヨ-ルぼち
TX_030a,    ようせいのもり
TX_030b,      レンヌ南
TX_030c,     南の海がん
TX_030d,    ミカヅキ海キョウ
TX_030e,     ゾ-ラのさと
TX_030f,      ゾ-ラ海
TX_0310,     あらしの海
TX_0311,     ミカヅキじま
TX_0312,      暗黒の塔
TX_0313,      暗黒の塔
TX_0314,     アンビの塔
TX_0315,    シバ-ルのはか
TX_0316,    ながしトカゲや
TX_0317,  ボスブリンようさいあと
TX_0318,   ボスブリンようさい
TX_0319, 大まほうつかいシロップのみせ
TX_031a, 大まほうつかいシロップのみせ
TX_031b,     ネ-ルのいえ
TX_031c,   ものしりバ-ドのやかた
TX_031d,      ショップ
TX_031e,  カ-ノの ゆびわかんていや
TX_031f,     おめんやさん
TX_0320,    トカゲしょくどう
TX_0321,    まんなかのいえ
TX_0322,  ちょうろうア-ダラのいえ
TX_0323,      マカの木
TX_0324,     マカのよう木
TX_0325,   ショップアドバンスと\n
TX_0326,     マトあてや
TX_0327,   ペックとラミンのいえ
TX_0328,   ペックとラミンのいえ
TX_0329,   ペックとラミンのいえ
TX_032a,   ペックとラミンのいえ
TX_032b,   ペックとラミンのいえ
TX_032c,まだ みせってい トカ
TX_032d,     ナッツそうげん
TX_032e,      ナッツ川
TX_032f,     ナッツこうや
TX_0330,     トロイワこ
TX_0331,    ふくげんのカベ
TX_0332,      レンヌ村
TX_0333,     レンヌ北東
TX_0334,      レンヌ西
TX_0335,    かえらずの海がん
TX_0336,     かえらずの海
TX_0337,    デクナッツのもり
TX_0338,    アンビきゅうでん
TX_0339,    ラフトンのいえ
TX_033a,    シバ-ルのいえ
TX_033b,    トカゲこうかんや
TX_033c,  ポストマンゆうびんきょく
TX_033d,      トイレ
TX_033e,  プレンちょうちょうのいえ
TX_033f,  プレンちょうちょうのいえ
TX_0340,    リペアのほこら
TX_0341,  メガネじま としょかん
TX_0342,  トロッコしゃてきじょう
TX_0343,どうぶつがくしゃ トロイのいえ
TX_0344,   ママム。ヤンのいえ
TX_0345,   ママム。ヤンのいえ
TX_0346,    暗黒の塔 入口
TX_0347, ながしトカゲ しりょうかん
TX_0348,   ゴロンの マトあてや
TX_0349,     ベックのいえ
TX_034a,    デカダンのいえ
TX_0400,まだ みせってい トカ
TX_0401,まだ みせってい トカ
TX_0402,まだ みせってい トカ
TX_0403,まだ みせってい トカ
TX_0404,まだ みせってい トカ
TX_0405,まだ みせってい トカ
TX_0406,まだ みせってい トカ
TX_0407,まだ みせってい トカ
TX_0408,まだ みせってい トカ
TX_0409,まだ みせってい トカ
TX_040a,まだ みせってい トカ
TX_040b,まだ みせってい トカ
TX_040c,まだ みせってい トカ
TX_040d,まだ みせってい トカ
TX_040e,まだ みせってい トカ
TX_040f,まだ みせってい トカ
TX_0500,"\pos(2)あのね \col(3)西のもり\col(0)から
\col(1)ことわり\col(0)のひびきが きこえるの
いってみてはどうかしら?"
TX_0520,"\pos(2)あのね \col(3)西のもり\col(0)から
\col(1)ことわり\col(0)のひびきが きこえるの
いってみてはどうかしら?"
TX_0501,\pos(2)でも かならず かえってきてね\heart
TX_0502,\pos(2)でも かならず かえってきてね\heart
TX_0521,\pos(2)でも かならず かえってきてね\heart
TX_0522,\pos(2)でも かならず かえってきてね\heart
TX_0503,"\pos(2)\col(3)ネ-ルのいえ\col(0)にいけば
なにか 手がかりが
のこっているかもしれないわね!
いってみると いいんじゃない?"
